reference,description,cost,units
*199.8130,ตัวหนุนขาบานพับแบบปีกพร้อมยูโรสกูร สามารถปรับได้ ขนาด 3มม. (ใช้กับบานพับ 99M9550),39.00,ตัว
70.1503,ฝาปิดขาบานพับ ทำด้วยโลหะสีเงิน ใช้กับบานพับรุ่น CLIP top ,4.75,ตัว
70T1504,ฝาครอบถ้วยบานพับ ทำด้วยโลหะสีเงิน ใช้กับบานพับรุ่น CLIP top ,5.75,ตัว
80.6507,ฝาปิดขาบานพับ ทำด้วยโลหะสีเงิน ใช้กับบานพับฯ 155/170องศา,4.25,ตัว
90M2503,ฝาปิดขาบานพับ ทำด้วยโลหะสีเงิน ทับขอบ บาน 100,3.75,ตัว
90M2503.BP,"ฝาปิดขาบานพับ ทำด้วยโลหะสีเงิน มีโลโก้ ""blum""",3.75,ตัว
90M2603,ฝาปิดขาบานพับ ทำด้วยโลหะสีเงิน ,3.75,ตัว
94M3603,ฝาปิดขาบานพับ ทำด้วยโลหะสีเงิน ครึ่งขอบ / ในขอบ บาน 100,3.75,ตัว
80.6107,ฝาปิดขาบานพับ ทำด้วยพลาสติกสีดำ ใช้กับบานพับฯ 155/170องศา,3.50,ตัว
90M2103,ฝาปิดขาบานพับ ทำด้วยโลหะสีดำ,3.00,ตัว
90M2203,ฝาปิดขาบานพับ ทำด้วยโลหะสีดำ,3.00,ตัว
94M3203,ฝาปิดขาบานพับ ทำด้วยโลหะสีดำ,3.00,ตัว
970.1002,ปุ่มกันชนหน้าบานสีเทา แบบเจาะฝัง (Ø 10มม. เจาะลึก 50 มม.),99.00,ตัว
970A1002,ปุ่มกันชนหน้าบานสีเทา แบบเจาะฝัง (Ø 10มม. เจาะลึก 50 มม.),99.00,ตัว
970.1501,ปีกใส่ปุ่มกันชนสีเทา,9.50,ตัว
970.1201,ปีกใส่ปุ่มกันชนสีเทา แบบขาตรง,12.50,ตัว
971A2500,ปุ่มกันชนหน้าบานแบบติดข้างตู้ สามารถปรับแข็ง-อ่อนได้ (ติดระยะเดียวกับตัวหนุนฯ),125.00,ตัว
973A0500.01,ปุ่มกันชนหน้าบานแบบสวมติดกับบานพับ ใช้กับบานพับรุ่น CLIP top บานทับขอบ,99.00,ตัว
973A0600,ปุ่มกันชนหน้าบานแบบสวมติดกับบานพับ ใช้กับบานพับรุ่น CLIP top บานครึ่งขอบ,100.00,ตัว
973A0700,ปุ่มกันชนหน้าบานแบบสวมติดกับบานพับ ใช้กับบานพับรุ่น CLIP top บานในขอบ,101.00,ตัว
65.059,อุปกรณ์ทาบระยะเจาะรูถ้วยบานพับ/รูตัวหนุนขาบานพับ (Pre-Drill),990.00,อัน
65.5,อุปกรณ์ทาบเจาะรูปุ่มกันชนหน้าบาน รุ่น 970.1002,"2,990.00",อัน
65.501,อุปกรณ์ทาบเจาะรูปุ่มกันชนหน้าบาน รุ่น 970A1002,"1,000.00",อัน
65.33,"อุปกรณ์ทาบระยะติดตั้งรางลิ้นชัก (ใช้กับรางปรับได้ 230M,430E และ Metabox)",609.00,อัน
T65.5000.01,อุปกรณ์ทาบระยะติดตั้งรางลิ้นชัก (ใช้กับราง TANDEM และ TANDEMBOX),"13,000.00",อัน
955.1004,ตัวกดกระเด้งใช้กับพับ แบบเจาะฝัง (Ø 10มม. เจาะลึก 50มม.) ใช้ได้กับบานพับไม่มีสปริงเท่านั้น,229.00,ชุด
955A1004,ตัวกดกระเด้งใช้กับพับ แบบเจาะฝัง (Ø 10มม. เจาะลึก 76มม.) ใช้ได้กับบานพับไม่มีสปริงเท่านั้น,269.00,ชุด
955.1201,ปีกใส่ตัวกดกระเด้ง แบบขาตรง ทำด้วยไนลอนสีเทา,79.00,อัน
955.1501,ปีกใส่ตัวกดกระเด้ง ทำด้วยไนลอนสีเทา,69.00,อัน
70M2550.TL,บานพับทับขอบ ถ้วยแบบ SCREW-ON ไม่มีสปริง เปิด 100องศา (ใช้กับตัวกดกระเด้ง),52.00,ตัว
